codice_regione,data,deceduti,denominazione_regione,dimessi_guariti,isolamento_domiciliare,lat,long,note_en,note_it,nuovi_positivi,ricoverati_con_sintomi,stato,tamponi,terapia_intensiva,totale_casi,totale_ospedalizzati,totale_positivi,variazione_totale_positivi
8,2020-03-24T17:00:00,985,Emilia-Romagna,558,4446,44.49436681,11.3417208,,,719,2974,ITA,33527,291,9254,3265,7711,491
6,2020-03-24T17:00:00,64,Friuli Venezia Giulia,80,604,45.6494354,13.76813649,,,62,195,ITA,8526,49,992,244,848,77
12,2020-03-24T17:00:00,80,Lazio,103,704,41.89277044,12.48366722,,,188,747,ITA,18371,94,1728,841,1545,131
7,2020-03-24T17:00:00,231,Liguria,193,742,44.41149315,8.9326992,,,192,803,ITA,5992,147,2116,950,1692,139
3,2020-03-24T17:00:00,4178,Lombardia,6657,8963,45.46679409,9.190347404,,,1942,9711,ITA,76695,1194,30703,10905,19868,958
11,2020-03-24T17:00:00,231,Marche,8,1486,43.61675973,13.5188753,,,167,862,ITA,7229,149,2736,1011,2497,139
14,2020-03-24T17:00:00,8,Molise,10,21,41.55774754,14.65916051,,,6,27,ITA,572,7,73,34,55,5
1,2020-03-24T17:00:00,374,Piemonte,17,2360,45.0732745,7.680687483,,,654,2404,ITA,15469,360,5515,2764,5124,595
16,2020-03-24T17:00:00,44,Puglia,21,566,41.12559576,16.86736689,,,99,317,ITA,7345,57,1005,374,940,78
20,2020-03-24T17:00:00,15,Sardegna,11,296,39.21531192,9.110616306,,,62,80,ITA,2859,19,421,99,395,52
19,2020-03-24T17:00:00,20,Sicilia,27,489,38.11569725,13.3623567,,,125,250,ITA,7170,60,846,310,799,118
9,2020-03-24T17:00:00,129,Toscana,51,1357,43.76923077,11.25588885,,,238,918,ITA,15701,244,2699,1162,2519,218
4,2020-03-24T17:00:00,56,P.A. Trento,79,618,46.06893511,11.12123097,,,87,308,ITA,3712,49,1110,357,975,61
10,2020-03-24T17:00:00,19,Umbria,5,476,43.10675841,12.38824698,,,71,105,ITA,4108,43,648,148,624,68
2,2020-03-24T17:00:00,19,Valle d'Aosta,2,288,45.73750286,7.320149366,,,7,71,ITA,1180,20,400,91,379,0
5,2020-03-24T17:00:00,216,Veneto,381,3729,45.43490485,12.33845213,,,443,1318,ITA,66178,304,5948,1622,5351,365
13,2020-03-25T17:00:00,52,Abruzzo,23,431,42.35122196,13.39843823,,,124,248,ITA,4982,59,813,307,738,116
17,2020-03-25T17:00:00,1,Basilicata,0,78,40.63947052,15.80514834,,,21,20,ITA,857,14,113,34,112,21
4,2020-03-25T17:00:00,43,P.A. Bolzano,67,518,46.49933453,11.35662422,,,77,190,ITA,6649,40,858,230,748,49
18,2020-03-25T17:00:00,11,Calabria,7,217,38.90597598,16.59440194,,,32,93,ITA,5058,23,351,116,333,29
15,2020-03-25T17:00:00,74,Campania,53,631,40.83956555,14.25084984,,,98,318,ITA,6972,123,1199,441,1072,80
8,2020-03-25T17:00:00,1077,Emilia-Romagna,721,4782,44.49436681,11.3417208,,,800,3180,ITA,38045,294,10054,3474,8256,545
6,2020-03-25T17:00:00,70,Friuli Venezia Giulia,158,659,45.6494354,13.76813649,,,147,200,ITA,9494,52,1139,252,911,63
12,2020-03-25T17:00:00,95,Lazio,131,769,41.89277044,12.48366722,,,173,805,ITA,20669,101,1901,906,1675,130
7,2020-03-25T17:00:00,254,Liguria,225,752,44.41149315,8.9326992,,,189,927,ITA,6602,147,2305,1074,1826,134
3,2020-03-25T17:00:00,4474,Lombardia,7281,9329,45.46679409,9.190347404,,,1643,10026,ITA,81666,1236,32346,11262,20591,723
11,2020-03-25T17:00:00,287,Marche,8,1553,43.61675973,13.5188753,,,198,938,ITA,7896,148,2934,1086,2639,142
14,2020-03-25T17:00:00,8,Molise,12,20,41.55774754,14.65916051,,,0,26,ITA,580,7,73,33,53,-2
1,2020-03-25T17:00:00,449,Piemonte,19,2631,45.0732745,7.680687483,,,509,2544,ITA,16655,381,6024,2925,5556,432
16,2020-03-25T17:00:00,48,Puglia,22,610,41.12559576,16.86736689,,,88,349,ITA,8223,64,1093,413,1023,83
20,2020-03-25T17:00:00,18,Sardegna,12,311,39.21531192,9.110616306,,,21,82,ITA,3019,19,442,101,412,17
